Authors,DOI,DataSourceType,FeatureName,Latitude,Longitude,FeatureType,FeatureCategory,ThawType,Imagery,ImageryDates,ImageryResolution_meters
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T56,68.7584,-148.9499,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T55,68.6951,-149.0418,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T40,68.6332,-149.7967,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T53,68.5419,-149.3315,Thermokarst/thermoerosional gully,Thermoerosional gully,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T42,68.6921,-149.2047,Thermokarst/thermoerosional gully,Thermoerosional gully,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T38,68.8882,-149.6339,Thermokarst,Thermokarst,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T52,68.5878,-149.7906,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T51,68.5691,-149.753,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T50,68.5469,-149.7566,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T41,68.5908,-149.7807,Thermokarst/thermoerosional gully,Thermoerosional gully,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T39,68.6793,-149.6202,Thermokarst,Thermokarst,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T49,68.7845,-149.6203,Thermokarst/thermoerosional gully,Thermoerosional gully,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T48,68.7088,-149.8609,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T47,68.6907,-149.8418,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
