"Authors","DOI","DataSourceType","FeatureName","Latitude","Longitude","FeatureType","FeatureCategory","ThawType","Imagery","ImageryDates","ImageryResolution_meters"
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","NE-14",68.67904,-149.6232,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","I-Minus_2",68.54337,-149.5226,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","GTH89",68.52534,-149.54644,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","GTH88",68.50268,-149.58901,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","TRTK",68.6936,-149.2043,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","I-Minus_1",68.55253,-149.57169,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","GTH86",68.61919,-149.42786,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","VoTK",68.96278,-150.67086,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Horn_Lake",68.96068,-150.31443,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Loon_Lake",67.92794,-161.9723,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Slopbucket",67.92515,-161.41811,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Rainbucket",67.94305,-162.35649,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Grandaddy",68.03481,-159.29156,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Eli",67.71618,-161.43026,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Saddle",67.8179,-161.44655,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Bear_Patch",67.73697,-161.42747,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Sushi",67.86342,-161.48044,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Remora",67.64853,-161.60562,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Wulik",67.8477,-163.88159,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Lobelia",68.87938,-150.55647,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Ptarmigan_Bluff",68.8762,-150.54552,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Cotton_Hollow",68.98551,-150.71714,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Helios",68.91054,-150.74004,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","VoTK_Control",68.9621,-150.66755,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Itkillik-2",68.66615,-149.8172,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Woodpile",67.89927,-156.48472,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Good_Twin",67.95929,-156.78624,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Third_Twin",67.95835,-156.81985,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Old_Ironslides",68.27005,-157.68447,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Mafic_Monks",68.26651,-157.47338,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Cutler_Ice",67.87649,-157.53053,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Jaded_Plover",67.98045,-157.07511,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Gavia_Familia",68.08324,-158.02727,"Thermokarst","Thermokarst","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Filthy_Quebe",68.08735,-158.04102,"Thermokarst","Thermokarst","Abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Happy Valley 1km",69.1,-148.4982,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Barrow",71.3168,-156.604,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Atqasuk",70.4509,-157.4047,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Betty Pingo",70.2848,-148.8669,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Kougarok",65.4556,-164.627,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","West Dock 1km",70.3678,-148.565,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Old Man",66.45,-150.6167,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Wickersham",65.2667,-148.05,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","West Dock 1ha",70.3667,-148.55,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Deadhorse",70.1667,-148.4667,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Franklin Bluff",69.6833,-148.7167,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Happy Valley 1ha",69.1667,-148.8333,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Imnavait 1km",68.5,-149.5,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Toolik 1km",68.6167,-149.6,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Galbraith Lake",68.4833,-149.5,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Chandalar Shelf",68.0667,-149.5833,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Ivotuk",68.48,-155.7351,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Council",64.8388,-163.7143,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Sagwon Hills MNT",69.441,-148.6703,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Sagwon Hills MAT",69.401,-148.8056,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Dot Lake",63.6748,-144.146,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Nenana",64.5545,-149.0834,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Venetie",67.0384,-146.4029,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
"Biskaborn et al. (2015)","https://doi.org/10.1594/PANGAEA.842815","Field - published","Arctic Village",68.1301,-145.5407,"Circumpolar active layer monitoring site","Non-abrupt","Non-abrupt","","",""
